"open","high","low","close","volume","adjusted","mean","returns","date"
2728.399902,2760,2700.199951,2725,308204,2725,2728.39996325,NA,"2020-01-10"
2715,2729.800049,2692,2703.399902,331165,2703.399902,2710.04998775,-0.00672554454887977,"2020-01-13"
2719,2750,2683.800049,2685,468539,2685,2709.45001225,-0.00022138908976302,"2020-01-14"
2677,2708.399902,2660,2690,416206,2690,2683.8499755,-0.00944842556026367,"2020-01-15"
2678.800049,2869.199951,2673.199951,2719.800049,1471244,2719.800049,2735.25,0.01915160123301,"2020-01-16"
2730,2776.800049,2726.199951,2772.800049,669449,2772.800049,2751.45001225,0.00592268065076314,"2020-01-17"
2791,2827,2777,2800,339883,2800,2798.75,0.0171909311597199,"2020-01-20"
2800,2800,2762.600098,2770,350935,2770,2783.1500245,-0.00557390817329174,"2020-01-21"
2800,2800,2673.199951,2790,757936,2790,2765.79998775,-0.00623395670275324,"2020-01-22"
2790.800049,2826.600098,2740,2820.199951,482678,2820.199951,2794.4000245,0.0103406019512156,"2020-01-23"
2798,2818,2775.800049,2798,367327,2798,2797.45001225,0.00109146425825195,"2020-01-24"
2780.199951,2802,2735.199951,2780,482636,2780,2774.3499755,-0.00825753334245289,"2020-01-27"
2784.600098,2813.800049,2765.600098,2799.800049,359683,2799.800049,2790.9500735,0.00598341887166134,"2020-01-28"
2812.399902,2890,2812.399902,2890,683094,2890,2851.199951,0.0215875869912798,"2020-01-29"
2881.399902,2905,2852.399902,2888,344250,2888,2881.699951,0.0106972504644238,"2020-01-30"
2910,2913,2865.399902,2873.399902,297476,2873.399902,2890.449951,0.00303640217537693,"2020-01-31"
2856.800049,2899.600098,2843.199951,2880.600098,271869,2880.600098,2870.050049,-0.00705769079064746,"2020-02-03"
2912.399902,2994.800049,2907,2990,471235,2990,2951.04998775,0.0282224830114801,"2020-02-04"
3018.199951,3081,2992.399902,3008.199951,696199,3008.199951,3024.949951,0.0250419218775566,"2020-02-05"
3029.399902,3076,3003.399902,3048.199951,390042,3048.199951,3039.24993875,0.00472734689222636,"2020-02-06"
3058.600098,3140,3022.399902,3103.800049,482075,3103.800049,3081.20001225,0.013802771850101,"2020-02-07"
3103.800049,3143,3065,3087.199951,426521,3087.199951,3099.75,0.00602037766982036,"2020-02-10"
3095,3131.199951,3066.199951,3085,340417,3085,3094.3499755,-0.00174208387773199,"2020-02-11"
3084.600098,3084.600098,3033,3037.199951,551284,3037.199951,3059.85003675,-0.0111493331469158,"2020-02-12"
3067,3097,3035.199951,3087.399902,516501,3087.399902,3071.64996325,0.00385637412235178,"2020-02-13"
3120,3127.600098,2950.800049,3011,1996834,3011,3052.35003675,-0.00628324409711688,"2020-02-14"
2980,2989.800049,2935.399902,2983.600098,498766,2983.600098,2972.20001225,-0.026258464309467,"2020-02-17"
2993,2993,2917.199951,2937,591328,2937,2960.04998775,-0.00408788925709007,"2020-02-18"
2918.600098,2991.199951,2912.600098,2953,730102,2953,2943.85003675,-0.00547286399454152,"2020-02-19"
